date,hash_rate,total_btc_supply,tx_volume_usd
2024-06-11,511874030.7337383,19710818.75,8300820379.970086
2024-06-12,607590312.9034619,19711212.5,7993241570.379265
2024-06-13,603428735.4178218,19711606.25,5447481273.682415
2024-06-14,532681918.1619392,19712003.125,7752072910.629316
2024-06-15,557651383.07578,19712400.0,2182888818.589143
2024-06-16,678337130.1593444,19712796.875,1577243596.909229
2024-06-17,582620847.9896209,19713387.5,6504943989.828709
2024-06-18,632559777.8173028,19713784.375,8142461537.978515
2024-06-19,570136115.5327007,19714375.0,4194286630.621904
2024-06-20,553323137.1046984,19714768.75,6897447731.90798
2024-06-21,582332779.002438,19715168.75,5839766773.132086
2024-06-22,632247017.2026471,19715562.5,5441303997.531913
2024-06-23,465866223.2019504,19716159.375,1479938986.0844269
2024-06-24,632247017.2026471,19716356.25,9211986161.082127
2024-06-25,515780461.4021594,19716953.125,7946145283.243041
2024-06-26,503301901.8521072,19717359.375,6539916736.601309
2024-06-27,540737580.5022639,19717753.125,10565765822.368536
2024-06-28,561535179.7523509,19718153.125,8362849210.30259
2024-06-29,653044616.4527341,19718550.0,2587218662.591855
2024-06-30,503301901.8521072,19718943.75,
2024-07-01,586492298.8524554,19719337.5,7238212215.877723
2024-07-02,615608937.8025774,19719734.375,5251483422.359735
2024-07-03,603130378.2525251,19720325.0,5633224518.403391
2024-07-04,582332779.002438,19720725.0,8872506195.657322
2024-07-05,481691507.2021622,19721118.75,17072634339.062922
2024-07-06,652035052.9717106,19721525.0,3146711262.5946255
2024-07-07,557193590.72128,19722121.875,2278555072.733085
2024-07-08,628324687.409103,19722515.625,10703012141.302937
2024-07-09,608566049.4402633,19722909.375,7917211325.057808
2024-07-10,537434952.7524403,19723500.0,8254401496.318952
2024-07-11,553241863.127512,19723893.75,7191349803.164905
2024-07-12,592759139.0651915,19724290.625,7362339048.252724
2024-07-13,608566049.4402633,19724887.5,2761173151.654501
2024-07-14,659938508.1592464,19725284.375,1663806010.8954782
2024-07-15,604614321.8464954,19725875.0,8843917880.771624
2024-07-16,580903956.2838876,19726268.75,12446978850.299572
2024-07-17,628324687.409103,19726665.625,7739487792.722873
2024-07-18,515102118.23597115,19727256.25,6732472480.378525
2024-07-19,599556361.5235602,19727650.0,8528315185.2865925
2024-07-20,672971426.1999145,19728046.875,3598982164.152902
2024-07-21,689285885.0168821,19728640.625,2500846849.1716294
2024-07-22,730072032.0593011,19729037.5,9717578991.658886
2024-07-23,689285885.0168821,19729640.625,14515028690.791712
2024-07-24,571006058.5938667,19730237.5,8943563782.017931
2024-07-25,664814196.7914306,19730631.25,7867610940.380128
2024-07-26,652578352.6787051,19731225.0,7332170770.1329155
2024-07-27,628106664.4532535,19731618.75,4232975746.9635262
2024-07-28,603634976.227802,19732218.75,2767696675.7889442
2024-07-29,725993417.3550591,19732612.5,9902659739.016802
2024-07-30,611792205.6362859,19733209.375,15119384835.083057
2024-07-31,613215974.0238556,19733603.125,9602772099.094246
2024-08-01,630987879.9602102,19733996.875,8155277551.651909
2024-08-02,563382035.6787592,19734593.75,9809266028.523855
2024-08-03,608452598.53306,19734987.5,2308110370.827175
2024-08-04,644509048.8165007,19735387.5,3460899185.172749
2024-08-05,703100780.5270916,19735781.25,13237735958.448278
2024-08-06,630987879.9602102,19736175.0,6808433062.101782
2024-08-07,549860866.8224689,19736765.625,7893851552.6037655
2024-08-08,581410260.8204794,19737175.0,6532994035.445488
2024-08-09,585917317.1059096,19737571.875,7901052207.058065
2024-08-10,581410260.8204794,19737965.625,3834508484.859348
2024-08-11,725636061.954242,19738359.375,1565215178.617859
2024-08-12,617466711.1039201,19738756.25,6152997429.581423
2024-08-13,671551386.529081,19739150.0,7149997426.564984
2024-08-14,594742777.8026003,19739743.75,6988791297.667786
2024-08-15,690944705.8016886,19740137.5,5391558140.144841
2024-08-16,613213426.3989986,19740534.375,4199825226.3043375
2024-08-17,643442257.2778225,19741125.0,1860988054.6251378
2024-08-18,673671088.1566465,19741521.875,1842005986.3217332
2024-08-19,561392573.463872,19741915.625,6312008781.440564
2024-08-20,647760661.689083,19742309.375,5274305723.816394
2024-08-21,634805448.4553014,19742900.0,5478969193.046639
2024-08-22,690944705.8016886,19743293.75,5779831062.841158
2024-08-23,708218323.4467307,19743884.375,7779554833.467165
2024-08-24,660715874.9228647,19744278.125,8091891894.064949
2024-08-25,574347786.6976537,19744875.0,1702032825.6541271
2024-08-26,578666191.1089141,19745268.75,6102368262.378635
2024-08-27,613213426.3989986,19745665.625,9613387187.807987
2024-08-28,703794017.3679069,19746065.625,6632252546.814547
2024-08-29,587091196.5963086,19746659.375,6395977330.5875435
2024-08-30,631567802.399059,19747053.125,7346359988.724018
2024-08-31,653806105.3004345,19747446.875,2193027465.921187
2024-09-01,631567802.399059,19747843.75,2648012585.459729
2024-09-02,742759316.9059358,19748268.75,3100686678.1579823
2024-09-03,662701426.4609846,19748862.5,6012689752.026111
2024-09-04,671596747.6215348,19749256.25,5799794944.180726
2024-09-05,689387389.9426349,19749881.25,6158660147.1760235
2024-09-06,644910784.1398844,19750275.0,7064283321.400344
2024-09-07,702730371.68346,19750671.875,1519336722.3506465
2024-09-08,742759316.9059358,19751265.625,1783924507.5377305
2024-09-09,644910784.1398844,19751859.375,6363322710.944949
2024-09-10,609329499.4976839,19752262.5,5660821108.553659
2024-09-11,495458846.64224994,19752656.25,4996530777.753266
2024-09-12,700222814.5578787,19753050.0,5069102731.029143
2024-09-13,566627672.3067043,19753446.875,7391259643.194124
2024-09-14,640335336.9970075,19753843.75,2251848613.999916
2024-09-15,695616085.5147347,19754237.5,1557392812.0248942
2024-09-16,575841130.3929921,19754828.125,5636920631.973337
2024-09-17,691009356.4715909,19755228.125,5979868415.488911
2024-09-18,635728607.9538636,19755631.25,7033415665.476531
2024-09-19,562020943.2635604,19756025.0,8246322622.468619
2024-09-20,667975711.255871,19756421.875,11383528905.333433
2024-09-21,621908420.8244318,19756815.625,1936753345.683346
2024-09-22,626515149.8675756,19757406.25,1568648134.041071
2024-09-23,672582440.299015,19757800.0,7000723222.757288
2024-09-24,667975711.255871,19758193.75,8567453178.705362
2024-09-25,657005311.2676694,19758600.0,8162704768.430984
2024-09-26,571298868.1801282,19759190.625,7108680538.140987
2024-09-27,602061114.928289,19759590.625,8554437526.620602
2024-09-28,566904261.5018196,19760006.25,2366097260.4524183
2024-09-29,681164035.1378452,19760403.125,1655558348.2101824
2024-09-30,602061114.928289,19760796.875,10834329687.749815
2024-10-01,689953248.4944626,19761190.625,8154719864.648614
2024-10-02,681164035.1378452,19761784.375,7829105602.861956
2024-10-03,694347855.1727712,19762187.5,7480735068.698743
2024-10-04,742688528.6341666,19762781.25,5461339204.431516
2024-10-05,663585608.4246106,19763181.25,2730371658.884799
2024-10-06,667980215.1029191,19763771.875,3005253704.35666
2024-10-07,681164035.1378452,19764171.875,7813362740.240367
2024-10-08,733899315.2775493,19764768.75,10877241078.803791
2024-10-09,574966972.3426994,19765162.5,6720634380.632039
2024-10-10,709250575.4670075,19765556.25,7011381420.420207
2024-10-11,640613423.0024583,19766146.875,6860121248.392112
2024-10-12,654340853.4953684,19766540.625,1843902651.0940166
2024-10-13,631461802.673852,19766934.375,1597337887.2848842
2024-10-14,636037612.8381552,19767328.125,6678664097.609112
2024-10-15,713826385.6313109,19767918.75,11549587821.736782
2024-10-16,645189233.1667618,19768312.5,11139283532.797909
2024-10-17,718402195.7956142,19768706.25,8730955014.1011
2024-10-18,622310182.3452455,19769303.125,10874397499.760347
2024-10-19,791615158.4244666,19769696.875,3014354207.8432803
2024-10-20,791615158.4244666,19770296.875,4380035792.252007
2024-10-21,782463538.0958601,19770690.625,8678261147.398464
2024-10-22,638125714.2515116,19771281.25,9459984977.844603
2024-10-23,718143298.2753785,19771675.0,6752263402.2640505
2024-10-24,699119634.7449049,19772265.625,8861423494.225447
2024-10-25,727655130.0406153,19772659.375,8170259000.293865
2024-10-26,694363718.8622864,19773053.125,2589025948.7554045
2024-10-27,765702457.1015625,19773650.0,1623405982.1370733
2024-10-28,798993868.2798914,19774050.0,10966185038.036318
2024-10-29,746678793.571089,19774640.625,14125800889.231539
2024-10-30,803749784.1625097,19775037.5,13795094906.86094
2024-10-31,751434709.4537071,19775628.125,13376076760.901299
2024-11-01,727655130.0406153,19776028.125,12445252914.96622
2024-11-02,670584139.4491944,19776621.875,2325736060.7382245
2024-11-03,627780896.505629,19777018.75,2585993578.693979
2024-11-04,720519107.2542773,19777415.625,10004272909.175388
2024-11-05,702351988.6923242,19778006.25,11232629934.277601
2024-11-06,773092476.7620546,19778403.125,16624459226.55678
2024-11-07,788251152.776997,19778800.0,14663670061.258778
2024-11-08,717510664.7072663,19779390.625,16280514071.904945
2024-11-09,702351988.6923242,19779787.5,4379578541.9617
2024-11-10,747828016.7371509,19780187.5,8805260115.054148
2024-11-11,687193312.6773819,19780584.375,15659527002.602785
2024-11-12,737722232.7271894,19781175.0,26270558367.128586
2024-11-13,697299096.6873435,19781575.0,21257021379.190033
2024-11-14,641717284.6325549,19781968.75,24187597707.2619
2024-11-15,757933800.7471123,19782362.5,19113942083.20821
2024-11-16,793304044.7819778,19782759.375,5256303046.01382
2024-11-17,757933800.7471123,19783350.0,3315738679.512714
2024-11-18,789177471.4803329,19783743.75,
2024-11-19,889845955.1158988,19784337.5,17907534161.0051
2024-11-20,747470602.2973549,19784928.125,19928511810.876366
2024-11-21,732216100.2096539,19785321.875,24042155708.5233
2024-11-22,727131266.1804202,19785715.625,18925420304.096355
2024-11-23,701707096.0342517,19786109.375,11273319452.938
2024-11-24,681367759.9173166,19786703.125,8444664449.542644
2024-11-25,859336950.9404964,19787096.875,19031989883.548634
2024-11-26,706791930.0634853,19787493.75,21331421147.908745
2024-11-27,676282925.8880831,19788084.375,12555140763.385523
2024-11-28,722046432.1511863,19788481.25,9708469422.03239
2024-11-29,615264917.5372787,19788875.0,12049106760.35298
2024-11-30,833912780.7943279,19789271.875,4308785753.686624
2024-12-01,803403776.6189257,19789668.75,4169328992.6346917
2024-12-02,649582756.2207783,19790262.5,16936998791.826956
2024-12-03,811042070.6273791,19790656.25,13405989744.175869
2024-12-04,759383340.0141702,19791050.0,13935666799.866549
2024-12-05,800710324.5047373,19791643.75,22269535612.85755
2024-12-06,702558736.3396405,19792037.5,17888033885.907677
2024-12-07,733553974.7075658,19792431.25,5418124415.8528185
2024-12-08,754217466.9528493,19793025.0,3771799971.244733
2024-12-09,862700801.2405878,19793421.875,16893586741.251682
2024-12-10,795544451.4434165,19794015.625,12979843425.395798
2024-12-11,733553974.7075658,19794412.5,21037350757.179394
2024-12-12,764549213.0754911,19794809.375,17239165427.918285
2024-12-13,878198420.4245505,19795400.0,17652553064.867294
2024-12-14,821373816.7500207,19795793.75,5353586265.646702
2024-12-15,707724609.4009614,19796387.5,6822123118.7715025
2024-12-16,796354777.917631,19796781.25,19489912898.92708
2024-12-17,733677850.1420219,19797175.0,16038288677.469349
2024-12-18,776835370.7386113,19797568.75,16000954252.851433
2024-12-19,782230060.8131851,19798162.5,19125758841.63413
2024-12-20,814598201.2606272,19798562.5,16133797899.628603
2024-12-21,782230060.8131851,19798965.625,6882358327.448823
2024-12-22,836176961.5589218,19799559.375,3340023325.9010005
2024-12-23,749861920.3657429,19799959.375,12473533243.122515
2024-12-24,712099089.8437271,19800353.125,11564062010.09304
2024-12-25,814598201.2606272,19800746.875,5466163116.674572
2024-12-26,706704399.7691535,19801343.75,8493106621.658707
2024-12-27,852361031.782643,19801740.625,9580652001.738985
2024-12-28,771440680.6640378,19802134.375,2677566056.8358884
2024-12-29,853049703.3260739,19802728.125,5228175703.420922
2024-12-30,867710155.9849901,19803121.875,13470587113.382612
2024-12-31,703991258.6293316,19803712.5,13251695752.866476
2025-01-01,764021520.9930731,19804106.25,6553323746.3020735
2025-01-02,911368528.6131656,19804500.0,6110103532.896917
2025-01-03,774936114.1501169,19805090.625,8269717281.335514
2025-01-04,813137190.1997707,19805484.375,2758643852.77057
2025-01-05,851338266.2494245,19805881.25,2386538450.1449366
2025-01-06,725820444.9434196,19806475.0,10720151138.280603
2025-01-07,731277741.5219413,19806871.875,12571059044.880728
2025-01-08,682162072.3152436,19807268.75,12232111996.713434
2025-01-09,829509079.9353366,19807665.625,7267610310.966393
2025-01-10,774936114.1501169,19808059.375,8226023524.658946
2025-01-11,753106927.8360293,19808456.25,2717776436.9154506
2025-01-12,939753829.6056751,19809046.875,2524860229.613659
2025-01-13,702796044.3776932,19809440.625,7428143322.801004
2025-01-14,845551490.8919123,19809834.375,8476643246.566211
2025-01-15,763192579.4414012,19810431.25,9736046043.950031
2025-01-16,702796044.3776932,19810825.0,15219278220.789003
2025-01-17,823589114.5051093,19811218.75,13726669241.249104
2025-01-18,713777232.5710948,19811612.5,5389522873.899006
2025-01-19,823589114.5051093,19812006.25,5860881893.009443
2025-01-20,834570302.6985108,19812596.875,11266460830.38323
2025-01-21,730249014.861197,19812996.875,14016792182.76418
2025-01-22,823589114.5051093,19813390.625,13577736341.160229
2025-01-23,746720797.1512991,19813984.375,14634364649.359365
2025-01-24,768683173.5381019,19814378.125,12098187853.612225
2025-01-25,702796044.3776932,19814775.0,3694805800.669982
2025-01-26,752211391.2479999,19815168.75,2783482751.6197257
2025-01-27,841602268.6110247,19815565.625,11955786516.95331
2025-01-28,795344639.2008113,19816159.375,8034825800.008887
2025-01-29,832962291.0549035,19816568.75,6092345911.116566
2025-01-30,779222788.4062003,19816962.5,7400448916.434272
2025-01-31,671743783.1087936,19817553.125,11201672996.579489
2025-02-01,988806848.7361435,19817946.875,3013247738.519718
2025-02-02,918945495.2928294,19818540.625,4767314353.494646
2025-02-03,822214390.5251629,19818934.375,18010195932.401714
2025-02-04,703987484.6980155,19819525.0,9972825687.013731
2025-02-05,773848838.1413299,19819918.75,14433738129.338787
2025-02-06,779222788.4062003,19820312.5,10021883321.596104
2025-02-07,929693395.8225701,19820706.25,8703519501.878572
2025-02-08,859832042.3792553,19821309.375,3464009779.7232847
2025-02-09,795293751.4100475,19821900.0,2892524949.0753446
2025-02-10,788864727.616627,19822312.5,7432617992.956971
2025-02-11,703735440.4637535,19822709.375,9477085951.576164
2025-02-12,754813012.7554775,19823106.25,6046944646.337515
2025-02-13,896695158.0102665,19823503.125,6654782592.28042
2025-02-14,862643443.1491172,19824093.75,8436991720.132586
2025-02-15,908045729.6306497,19824487.5,2834188516.6755214
2025-02-16,856968157.3389257,19825081.25,2372547536.0734653
2025-02-17,777514155.996244,19825478.125,5508831135.639191
2025-02-18,794540013.4268184,19825871.875,7844099152.227246
2025-02-19,715086012.0841366,19826265.625,7977877909.42433
2025-02-20,737787155.324903,19826659.375,7693600250.556907
2025-02-21,732111869.5147113,19827053.125,11713054420.955343
2025-02-22,788864727.616627,19827446.875,9079926698.565578
2025-02-23,728533880.978175,19828037.5,4160757626.3135962
2025-02-24,714530229.8374169,19828431.25,7539058256.821985
2025-02-25,807968798.3546175,19828828.125,19880185672.637268
2025-02-26,862932662.1882651,19829221.875,16676247403.02854
2025-02-27,824457957.5047117,19829812.5,13035391292.900713
2025-02-28,857436275.8049003,19830206.25,14082883082.188152
2025-03-01,791479639.2045234,19830600.0,4440543779.655316
2025-03-02,692544684.3039575,19831190.625,6026981353.715553
2025-03-03,824457957.5047117,19831584.375,13059040343.29221
2025-03-04,802472411.9712528,19831978.125,9413786977.94864
2025-03-05,736515775.3708757,19832371.875,7517911103.3842125
2025-03-06,934385685.1720064,19832771.875,8439668480.765515
2025-03-07,780486866.4377937,19833365.625,10112854701.343702
2025-03-08,753004934.5209701,19833759.375,2510243357.318507
2025-03-09,878012411.8108668,19834350.0,3291100083.832311
2025-03-10,858547242.188255,19834743.75,11665904508.07828
2025-03-11,769347528.7141508,19835334.375,10558772838.912882
2025-03-12,852972260.0961236,19835731.25,11244575402.619507
2025-03-13,886422152.6489124,19836125.0,11652599979.206436
2025-03-14,791647457.0826768,19836721.875,7688923936.964859
2025-03-15,735897636.1613616,19837115.625,2025237248.2558634
2025-03-16,808372403.3590714,19837518.75,2461022384.446573
2025-03-17,780497492.8984137,19837912.5,6958311355.184736
2025-03-18,791647457.0826768,19838306.25,5673415289.209962
2025-03-19,847397278.0039921,19838896.875,7323070307.706748
2025-03-20,791647457.0826768,19839290.625,9374758746.042683
2025-03-21,808372403.3590714,19839684.375,7154070651.931662
2025-03-22,836247313.819729,19840275.0,2286075876.446249
2025-03-23,876571559.8921037,19840668.75,1789474661.2639942
2025-03-24,870857131.0489082,19841259.375,7684100097.406544
2025-03-25,842582548.8719956,19841653.125,10116621776.142765
2025-03-26,859547298.1781431,19842050.0,9664047436.944172
2025-03-27,836927632.4366131,19842643.75,7526149332.700574
2025-03-28,870857131.0489082,19843037.5,12048485791.401278
2025-03-29,797343217.3889353,19843443.75,5091286087.469017
2025-03-30,774723551.6474054,19844034.375,3254782225.1719213
2025-03-31,836927632.4366131,19844428.125,9821678609.988209
2025-04-01,763413718.7766403,19844828.125,6557955353.679704
2025-04-02,972645626.8857933,19845221.875,9548511632.805397
2025-04-03,859547298.1781431,19845821.875,11835707286.54347
2025-04-04,1017884958.3688537,19846218.75,8780468949.850952
2025-04-05,948981343.907835,19846809.375,3868108851.8407145
2025-04-06,875826848.0097468,19847403.125,4346039061.740272
2025-04-07,875826848.0097468,19847796.875,12325031990.720432
2025-04-08,924148329.2792498,19848196.875,7889160738.948145
2025-04-09,791264255.7881161,19848815.625,10619510422.057436
2025-04-10,869786662.851059,19849209.375,8272452338.091592
2025-04-11,893947403.4858105,19849606.25,10441636973.743479
2025-04-12,869786662.851059,19850003.125,3199768362.3695993
2025-04-13,1038911847.2943201,19850596.875,2872917277.051721
2025-04-14,899987588.6444983,19850996.875,7327920945.142364
2025-04-15,869786662.851059,19851587.5,6411287873.065953
2025-04-16,893947403.4858105,19851984.375,9044954451.20895
2025-04-17,924148329.2792498,19852378.125,7817372046.315234
2025-04-18,821465181.5815556,19852968.75,3870953753.6277747
2025-04-19,847396221.1293446,19853362.5,2510500478.902752
2025-04-20,753499802.4397362,19853756.25,2232630980.687477
2025-04-21,771877846.401681,19854150.0,7961048503.294534
2025-04-22,949532271.367147,19854543.75,12491830345.924187
2025-04-23,698365670.5539016,19855134.375,16200026210.79612
2025-04-24,863768066.2114046,19855331.25,14035201954.66458
2025-04-25,882146110.1733494,19855921.875,17332578422.84961
2025-04-26,814759948.9795519,19856318.75,4555887933.739448
2025-04-27,827011978.2875152,19856712.5,3888393605.9005857
2025-04-28,863768066.2114046,19857106.25,11534611913.428812
2025-04-29,894398139.4813126,19857500.0,12682042160.758211
2025-04-30,808633934.3255703,19858090.625,8415953464.653325
2025-05-01,827011978.2875152,19858484.375,8742561243.010767
2025-05-02,974036329.9830736,19858878.125,10365219305.55276
2025-05-03,999957994.4593519,19859275.0,5780366401.056679
2025-05-04,823060870.7158544,19859868.75,2688789794.2843966
2025-05-05,1036227714.9300332,19860268.75,12316169616.315157
2025-05-06,817139569.4876828,19860859.375,9692283136.625355
2025-05-07,894116485.453914,19861253.125,8870488913.741823
2025-05-08,941486895.2792871,19861843.75,10352926922.70228
2025-05-09,828982171.944026,19862237.5,12000952154.164745
2025-05-10,888195184.2257423,19862637.5,3641552067.7514997
2025-05-11,882273882.9975705,19863228.125,4002446571.2172523
2025-05-12,858588678.0848842,19863625.0,10610173476.098167
2025-05-13,769769159.6623099,19864025.0,12139989800.498348
2025-05-14,852667376.8567126,19864418.75,9186120404.981548
2025-05-15,864509979.3130558,19865012.5,13310349561.179665
2025-05-16,805296967.0313396,19865409.375,9260377548.058199
2025-05-17,853317480.0820746,19865806.25,3011615665.251809
2025-05-18,979723251.2998109,19866200.0,4277222751.359123
2025-05-19,852722089.09428,19866790.625,11066325015.853483
2025-05-20,895055809.829457,19867184.375,10861017407.833975
2025-05-21,870865112.2664988,19867581.25,14775186534.55395
2025-05-22,907151158.610936,19868175.0,16043204929.738068
2025-05-23,937389530.5646338,19868568.75,15409133940.94576
2025-05-24,852722089.09428,19869162.5,5446155680.062743
2025-05-25,913198833.0016756,19869556.25,3288796413.1677313
2025-05-26,925294181.7831548,19869962.5,9216183401.120417
2025-05-27,852722089.09428,19870553.125,12251387161.35873
2025-05-28,991818600.0812899,19870950.0,10535083488.500374
2025-05-29,961580228.1275918,19871343.75,10341416369.58704
2025-05-30,937389530.5646338,19871934.375,12038234757.004648
2025-05-31,1016284104.8877773,19872328.125,3219514300.9733295
2025-06-01,839539043.1681639,19872934.375,2705917037.3142548
2025-06-02,839539043.1681639,19873328.125,12666100367.852962
2025-06-03,908974603.1294405,19873721.875,11439289120.522953
2025-06-04,795352777.73826,19874115.625,13646987293.23523
2025-06-05,845851366.801007,19874509.375,10550534159.238892
2025-06-06,845851366.801007,19874912.5,11455561872.615784
2025-06-07,902662279.4965969,19875503.125,3677820071.5810657
2025-06-08,965785515.8250304,19875896.875,2364440624.399593
2025-06-09,883725308.5980667,19876290.625,9265964068.03982
2025-06-10,1066782693.9505239,19876684.375,11196025800.767021
2025-06-11,890037632.2309102,19877275.0,8722630197.219322
2025-06-12,934223897.6608136,19877668.75,6376367919.772322
2025-06-13,915286926.7622839,19878259.375,11515533272.179176
2025-06-14,949216466.5546213,19878665.625,3885367331.7677402
2025-06-15,854616743.0404905,19879062.5,3155873881.1872916
2025-06-16,917456209.4405266,19879656.25,11917602155.905172
2025-06-17,741505703.5204258,19880050.0,9427005107.909824
2025-06-18,879752529.6005048,19880443.75,10252024346.377224
2025-06-19,798061223.2804582,19880840.625,5255470077.15392
2025-06-20,948875942.6405447,19881234.375,8671147096.782238
2025-06-21,886036476.2405084,19881628.125,3272164417.8679485
2025-06-22,672382290.480386,19882221.875,5215828659.9633255
2025-06-23,672382290.480386,19882418.75,9641640710.702705
2025-06-24,735221756.880422,19882812.5,
2025-06-25,898604369.5205159,19883206.25,11874525132.589663
2025-06-26,986579622.4805663,19883600.0,11793948204.87055
2025-06-27,722653863.6004148,19884190.625,12887703108.271957
2025-06-28,911172262.800523,19884387.5,3336314161.1267157
2025-06-29,995260121.1336331,19884984.375,3488152854.034
2025-06-30,843035679.3574839,19885378.125,14136311601.559845
2025-07-01,779081248.5096745,19885968.75,7525873041.10213
2025-07-02,889547992.701345,19886365.625,9829934492.062973
2025-07-03,877919914.3653797,19886762.5,11161785740.783573
2025-07-04,924432227.709241,19887353.125,16598074235.295662
2025-07-05,912804149.3732755,19887746.875,2818051738.286806
2025-07-06,930246266.8772235,19888337.5,2856385887.529106
2025-07-07,877919914.3653797,19888734.375,9758779721.625797
2025-07-08,825593561.8535358,19889128.125,8193896030.848373
2025-07-09,953502423.549154,19889721.875,7732968413.466436
2025-07-10,994200697.7250328,19890115.625,11593476507.743673
2025-07-11,872105875.197397,19890706.25,17966579616.717262
2025-07-12,918141001.6128464,19891100.0,7065294773.538602
2025-07-13,859946006.057642,19891700.0,4554222640.881363
2025-07-14,910161831.228891,19892103.125,28379995376.52119
2025-07-15,1029424416.010608,19892506.25,25653677929.517857
2025-07-16,822284137.1792051,19893096.875,15318731737.294672
2025-07-17,853669027.9112357,19893490.625,29735820375.44461
2025-07-18,903884853.0824848,19893887.5,17065964092.484245
2025-07-19,891330896.7896729,19894287.5,6034792021.890069
2025-07-20,935269743.8145157,19894687.5,3737438458.7072406
2025-07-21,941546721.960922,19895278.125,14562334193.0149
2025-07-22,941546721.960922,19895671.875,14170292447.359936
2025-07-23,878776940.4968604,19896265.625,10879734897.830894
2025-07-24,922715787.5217032,19896659.375,11261125234.19587
2025-07-25,1004316503.4249833,19897062.5,22820893392.68719
2025-07-26,970032969.1338755,19897653.125,4964932334.15206
2025-07-27,869131963.3112651,19898053.125,3373298830.617135
2025-07-28,919884194.7454995,19898450.0,12934438036.770037
2025-07-29,710531240.0792824,19898856.25,13288768254.758938
2025-07-30,869131963.3112651,19899259.375,10499712187.637215
2025-07-31,976980455.1090133,19899656.25,9759826295.827438
2025-08-01,957948368.3211753,19900246.875,15497763392.271341
2025-08-02,919884194.7454995,19900646.875,3157274637.0232015
2025-08-03,983324484.0382924,19901043.75,3752362442.6492014
2025-08-04,1084828946.9067616,19901650.0,11845762258.67677
2025-08-05,875475992.2405444,19902043.75,9313301817.800478
2025-08-06,913540165.8162203,19902634.375,7655906247.251752
2025-08-07,1021388657.6139685,19903121.875,8976136352.994701
2025-08-08,870485436.2761792,19903625.0,10640830372.69743
2025-08-09,746374213.3917352,19903900.0,3986623481.7432323
2025-08-10,868625162.1369333,19904431.25,4258627456.3488636
2025-08-11,945836287.6602162,19904681.25,11718980185.323074
2025-08-12,881493683.0574806,19905156.25,11498642440.824318
2025-08-13,1003744631.8026783,19905775.0,12888456394.703356
2025-08-14,1042350194.56432,19906050.0,14413520594.360933
2025-08-15,862190901.6766596,19906581.25,14017254389.700182
2025-08-16,978007589.9615842,19907118.75,5504971480.001399
2025-08-17,978007589.9615842,19907415.625,4633178834.210024
2025-08-18,990876110.8821313,19907993.75,10854550547.181856
2025-08-19,862190901.6766596,19908550.0,14441863554.129673
2025-08-20,907230724.8985746,19908809.375,11774848315.666763
2025-08-21,958704808.5807632,19909362.5,14001832264.62955
2025-08-22,939585701.641628,19909703.125,15328705213.824976
2025-08-23,980001769.6141683,19910250.0,8101157832.036867
